City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
254,Saldanha,ZA,-33.0117,17.9442,67.59,77,0,24.72,clear sky
255,Saint George,US,37.1041,-113.5841,57.67,40,0,3.44,clear sky
256,Benguela,AO,-12.5763,13.4055,79.0,79,100,6.71,overcast clouds
257,Khobi,GE,42.3156,41.8987,37.74,78,100,1.74,overcast clouds
258,Arlit,NE,18.7369,7.3853,76.8,9,6,13.09,clear sky
259,Sorland,NO,67.667,12.6934,31.93,87,99,17.54,light snow
260,Kimbe,PG,-5.5502,150.1429,76.37,92,94,1.34,light rain
261,Bucerias,MX,20.75,-105.3333,73.38,64,0,4.61,clear sky
262,Katsuura,JP,35.1333,140.3,41.14,87,69,12.24,broken clouds
263,Kapoeta,SS,4.7717,33.5903,90.37,19,3,6.42,clear sky
264,Pokrovka,KG,42.3414,78.0056,22.57,79,93,7.52,light snow
265,Dodge City,US,37.7528,-100.0171,50.65,42,0,5.01,clear sky
266,Imbituba,BR,-28.24,-48.6703,75.09,71,100,7.72,overcast clouds
267,Mbandaka,CD,0.0487,18.2603,84.04,31,78,1.25,broken clouds
268,Hamilton,US,39.1834,-84.5333,22.75,67,20,1.99,snow
269,Eskisehir,TR,39.7767,30.5206,22.91,80,75,8.05,broken clouds
270,Kaseda,JP,31.4167,130.3167,43.84,62,96,11.27,overcast clouds
271,Villacarrillo,ES,38.1156,-3.0848,55.0,25,0,1.72,clear sky
272,Mahebourg,MU,-20.4081,57.7,80.89,83,40,11.5,scattered clouds
273,Kindu,CD,-2.95,25.95,75.67,72,47,0.58,scattered clouds
274,Yar-Sale,RU,66.8333,70.8333,-4.59,96,99,7.63,overcast clouds
275,Havoysund,NO,70.9963,24.6622,20.28,56,96,12.62,overcast clouds
276,San Quintin,MX,30.4833,-115.95,62.74,35,27,5.17,scattered clouds
277,Andenes,NO,69.3143,16.1194,26.58,68,100,17.27,overcast clouds
278,Iranshahr,IR,27.2025,60.6848,64.69,36,0,3.8,clear sky
279,Nikolayevsk-Na-Amure,RU,53.1406,140.73,-17.72,97,36,4.56,scattered clouds
280,Kysyl-Syr,RU,63.8986,122.7617,-17.12,100,99,3.94,overcast clouds
281,Birao,CF,10.2849,22.7882,76.59,13,32,6.42,scattered clouds
282,Sao Joao Da Barra,BR,-21.6403,-41.0511,89.69,79,58,15.5,broken clouds
283,Amahai,ID,-3.3333,128.9167,78.67,82,100,5.84,overcast clouds
284,Salvacion,PH,7.9833,126.1333,72.72,94,38,1.03,scattered clouds
285,Tiznit,MA,29.5833,-9.5,65.3,21,0,30.33,clear sky
286,Necochea,AR,-38.5473,-58.7368,89.04,35,0,10.13,clear sky
287,Isagarh,IN,24.8333,77.8833,56.37,39,0,5.57,clear sky
288,Mehamn,NO,71.0357,27.8492,28.2,93,100,7.14,snow
289,Pafos,CY,34.7667,32.4167,51.71,71,20,5.75,few clouds
290,Faya,SA,18.3851,42.4509,54.12,73,7,6.29,clear sky
291,Padang,ID,-0.9492,100.3543,77.88,88,84,1.9,broken clouds
292,Moerai,PF,-22.4333,-151.3333,79.25,75,1,8.37,clear sky
293,Batagay,RU,67.6333,134.6333,-33.43,99,100,2.55,overcast clouds
294,Abnub,EG,27.2696,31.1511,54.59,44,4,8.46,clear sky
295,Komsomolskiy,UZ,40.4272,71.7189,36.32,93,75,2.3,fog
296,Bafra,TR,41.5678,35.9069,37.18,70,96,7.83,overcast clouds
297,Taoudenni,ML,22.6783,-3.9836,79.88,10,100,16.4,overcast clouds
298,Tura,IN,25.5198,90.2201,53.15,52,0,2.37,clear sky
299,Talnakh,RU,69.4865,88.3972,0.21,97,100,10.16,light snow
300,Beyneu,KZ,45.3167,55.2,26.4,84,6,3.6,clear sky
301,Teahupoo,PF,-17.8333,-149.2667,73.36,75,43,14.63,light rain
302,Zurrieq,MT,35.8311,14.4742,52.97,46,20,17.27,few clouds
303,Lorengau,PG,-2.0226,147.2712,80.35,79,100,8.81,overcast clouds
304,Jurado,CO,7.1053,-77.7641,86.18,57,7,7.09,clear sky
305,Phangnga,TH,8.4509,98.5298,86.92,86,4,3.22,clear sky
306,Ojinaga,MX,29.5667,-104.4167,52.57,37,0,0.0,clear sky
307,Karratha,AU,-20.7377,116.8463,82.78,62,68,15.08,broken clouds
308,Markova,UA,48.6758,24.4138,26.19,86,46,9.31,scattered clouds
309,Khatanga,RU,71.9667,102.5,-3.14,98,100,5.28,overcast clouds
310,Doha,QA,25.2867,51.5333,64.38,55,0,11.5,clear sky
311,Carndonagh,IE,55.25,-7.2667,44.96,61,91,18.88,overcast clouds
312,Abu Samrah,SY,35.3029,37.1841,41.11,80,76,6.6,broken clouds
313,La Palma,US,33.8464,-118.0467,64.9,29,0,1.01,clear sky
314,Ribeira Brava,PT,32.65,-17.0667,69.71,63,17,8.16,few clouds
315,Namatanai,PG,-3.6667,152.4333,79.2,82,100,4.59,moderate rain
316,Borovoy,RU,55.4333,86.0833,2.48,92,40,2.24,scattered clouds
317,Esperance,AU,-33.8667,121.9,67.01,72,0,16.96,clear sky
318,Havelock,US,34.8791,-76.9013,37.38,70,100,8.99,overcast clouds
319,Sukumo,JP,32.9333,132.7333,39.78,75,98,7.25,overcast clouds
320,Marrakesh,MA,31.6315,-8.0083,75.27,22,75,6.91,broken clouds
321,Ambon,ID,-3.6954,128.1814,78.94,89,40,4.61,scattered clouds
322,Te Anau,NZ,-45.4167,167.7167,56.64,86,100,3.62,moderate rain
323,Diebougou,BF,10.9667,-3.25,95.61,9,41,6.82,scattered clouds
324,Avera,US,33.194,-82.5271,40.95,30,0,14.56,clear sky
325,Nyurba,RU,63.2842,118.3319,-19.62,99,20,5.14,few clouds
326,Barabai,ID,-2.5833,115.3833,73.8,90,88,0.89,overcast clouds
327,Rapid Valley,US,44.0625,-103.1463,53.2,21,0,1.99,clear sky
328,Faanui,PF,-16.4833,-151.75,80.33,74,18,11.9,moderate rain
329,Kahului,US,20.8947,-156.47,71.62,66,20,11.5,few clouds
330,Kununurra,AU,-15.7667,128.7333,78.78,94,40,4.61,moderate rain
331,Kolpashevo,RU,58.3131,82.9089,-0.17,100,99,3.87,overcast clouds
332,Bastia,FR,42.6667,9.3333,55.2,68,0,1.01,clear sky
333,Port Moresby,PG,-9.4431,147.1797,76.89,84,100,5.1,overcast clouds
334,Olafsvik,IS,64.8945,-23.7142,37.9,67,99,29.24,light rain
335,River Falls,US,44.8614,-92.6238,22.98,86,73,10.67,broken clouds
336,Vardo,NO,70.3705,31.1107,22.26,74,100,7.16,overcast clouds
337,Lagoa,PT,39.05,-27.9833,58.41,74,7,12.55,clear sky
338,Doctor Juan Leon Mallorquin,PY,-25.4,-55.2667,83.93,51,82,6.58,broken clouds
339,Belaya Gora,RU,68.5333,146.4167,-12.5,98,100,1.86,overcast clouds
340,Hurghada,EG,27.2574,33.8129,59.2,48,0,14.83,clear sky
341,Khani,GE,41.9563,42.9566,29.77,85,80,5.59,broken clouds
342,Ramona,US,33.0417,-116.8681,62.76,23,100,5.75,overcast clouds
343,Denpasar,ID,-8.65,115.2167,82.06,83,40,9.22,light rain
344,Ati,TD,13.2154,18.3353,75.65,12,71,11.07,broken clouds
345,Marawi,PH,7.9986,124.2928,68.65,95,49,1.23,scattered clouds
346,Bousse,BF,12.6606,-1.8922,90.3,9,14,13.13,few clouds
347,Lalibela,ET,12.0333,39.0333,62.47,50,14,9.28,few clouds
